Feature ID	kingdom	phylum	class	order	family	genus	species
31acc3639057490279a05d3f3b5aa70a	Bacteria	Proteobacteria	Gammaproteobacteria	Gammaproteobacteria_Incertae_Sedis	Unknown_Family	Acidibacter	
195ab125a113198ed3be5f618b5d5fd3	Bacteria	Myxococcota	Myxococcia	Myxococcales	Myxococcaceae		
e79a186efd06dc6d5903d76a9420848b	Bacteria	Verrucomicrobiota	Verrucomicrobiae	Pedosphaerales	Pedosphaeraceae	Pedosphaeraceae	
8ca98ef8e5c8f1033e5e9f838e44f899	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Oxalobacteraceae		
9c6f2afe1a3ceca5600df736831ce6b6	Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae		
25cb30df8936afb96ea9294665a441cf	Bacteria	Myxococcota	Polyangia	Polyangiales	BIrii41	BIrii41	
51e7a44e9c205c64160535b95b0fd910	Bacteria	Actinobacteriota	Actinobacteria	Micrococcales			
4bfb0088c5ffee253af1aaa5fc6bdf92	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Xanthobacteraceae	uncultured	
245e29142a28ed1d7831fe9693571014	Bacteria	Actinobacteriota	Actinobacteria	Pseudonocardiales	Pseudonocardiaceae	Actinophytocola	
0bb1a1068e84864b50d00a4343410203	Bacteria	Actinobacteriota	Actinobacteria	Micrococcales	Intrasporangiaceae	Tetrasphaera	
fa2d151bfb83a2772a7ed0cb70b611c1	Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Sphingomonas	
85e8c3f8d753fd0757e547a38a076708	Bacteria	Actinobacteriota	Actinobacteria	Streptosporangiales	Thermomonosporaceae		
09e290bbd77be38cc029f9759f10642f	Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Altererythrobacter	
0680ffc7efb77990f83f793674640e66	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Beijerinckiaceae	Microvirga	
8a672dd68002f4486a8d8ca2ca50a13b	Bacteria	Halanaerobiaeota	Halanaerobiia	Halanaerobiales	Halobacteroidaceae	uncultured	uncultured_bacterium
f5e5fc60f54372baff02bc5e4f90ecdd	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Nitrosomonadaceae	Nitrosospira	
cac6ba0556e5350eaab3f720a43c7b97	Bacteria	Actinobacteriota	Thermoleophilia	Solirubrobacterales	67-14	67-14	
b5120bc3896cdf7bfcc09c32a7e85c9a	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Comamonadaceae		
ebd33b77213228ba8973eee8dbef2ccf	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Hyphomicrobiaceae	Hyphomicrobium	
1744ebbd6458358c0d80e81df6830acb	Bacteria	Chloroflexi	Chloroflexia	Chloroflexales	Roseiflexaceae	uncultured	uncultured_Chloroflexi
d549b0935692dd84d83d6ddb309b8af0	Bacteria	Myxococcota	Myxococcia	Myxococcales	Myxococcaceae	Corallococcus	
08f4ac16e44274b253b9b481275b5dbe	Bacteria	Actinobacteriota	Actinobacteria	Micrococcales	Microbacteriaceae	Agromyces	
e215d2b428a6af86de47174e2080f9de	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	
dae03de5cfd483fb5904bd0b416e4095	Bacteria	Firmicutes	Bacilli	Bacillales	Planococcaceae	Solibacillus	
220ac3dd349ad98ba4a3f939e488e6fe	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Comamonadaceae	Ramlibacter	
29dbd1ef3e99decb4636eb3dd4c4373e	Bacteria	Chloroflexi	Dehalococcoidia	S085	S085	S085	uncultured_bacterium
0939085286139e9561fccf2c3efa569d	Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Sphingobium	
8a8a35bb61237d5fcd01ba0f8b7a9aa1	Bacteria	Chloroflexi	Anaerolineae	Ardenticatenales	Ardenticatenaceae	uncultured	unidentified_marine
d5688a239827a978f229d9a525baf882	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Devosiaceae	Devosia	
91b37149a3bfbc4dd22573d3fe3400ff	Bacteria	Proteobacteria	Alphaproteobacteria	Caulobacterales	Caulobacteraceae		
d4cda0513c3e296f9c0d5ecd19cbf4ad	Bacteria	Actinobacteriota	Actinobacteria	Micrococcales	Microbacteriaceae	Agromyces	
82139dd6bdc43099e394b2f1ceb3ce3f	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Xanthobacteraceae	Pseudorhodoplanes	
29c4934106a3685e3d7e33c1d11837d3	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Rhizobiales_Incertae_Sedis	uncultured	
04aa2137c78f69f381ed15c3a82f5f64	Bacteria	Myxococcota	Polyangia	Polyangiales	BIrii41	BIrii41	
5055a802333c216d889cfa7470a17456	Bacteria	Chloroflexi	TK10	TK10	TK10	TK10	
25f51622767487b341c7d79cd9636017	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Rhizobiales_Incertae_Sedis	Nordella	
0a8195a29695d7a0c281cdb89490c103	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Rhizobiaceae	Mesorhizobium	
8f4c7e6362799d8f8f9cce6e8381458f	Bacteria	Actinobacteriota	Thermoleophilia	Solirubrobacterales	67-14	67-14	
251c2d7c51bdf76c28977d4e4ac9f8dc	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Comamonadaceae		
a510b779c94db0128b3e0d2845090e0a	Bacteria	Myxococcota	Polyangia	Nannocystales	Nannocystaceae	Nannocystis	
17f2c6b0b56326067e5ad525a7827252	Bacteria	Myxococcota	Myxococcia	Myxococcales	Myxococcaceae		
2967f71f446091e0f02e732690bb64b7	Bacteria	Actinobacteriota	Actinobacteria	Pseudonocardiales	Pseudonocardiaceae	Actinophytocola	Actinophytocola_sp.
c5e5c4221308637b58c8d3c213ac80c8	Bacteria	Actinobacteriota	Actinobacteria	Propionibacteriales	Nocardioidaceae	Nocardioides	
f0da5b39280c67c44a1dee72776f47fe	Bacteria	Actinobacteriota	Actinobacteria	Propionibacteriales	Nocardioidaceae	Nocardioides	
b62bbc3100d1c67ae319ab82393256a8	Bacteria	Myxococcota	Polyangia	Nannocystales	Nannocystaceae		
822daa54ba2ad49ec81c477a1244d534	Bacteria	Myxococcota	Polyangia	Nannocystales	Nannocystaceae		
b54cbd7b87292ba1f0a23ce458e3fac9	Bacteria	Proteobacteria	Alphaproteobacteria	Ferrovibrionales	Ferrovibrionaceae	Ferrovibrio	uncultured_bacterium
6e679c48e898e1563c4ae6d983827d77	Bacteria	Actinobacteriota	Actinobacteria	Micromonosporales	Micromonosporaceae		
c66d84487e275bc1616630ff875d60a4	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	
b6d1775130abfd1f6f3aa35ae59131fe	Bacteria	Acidobacteriota	Acidobacteriae	Bryobacterales	Bryobacteraceae	Bryobacter	
ff46bb075173b62c475ce9d89ec59b12	Bacteria	Proteobacteria	Alphaproteobacteria	Dongiales	Dongiaceae	Dongia	
e729a459d0dcab5027b02650152dbc58	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	D05-2	D05-2	
10741b1183dda151b54d1f58b4f00eea	Bacteria	Bdellovibrionota	Oligoflexia	0319-6G20	0319-6G20	0319-6G20	
7ab690962f68772c10d681adc812e9cf	Bacteria	Firmicutes	Bacilli	Paenibacillales	Paenibacillaceae	Paenibacillus	
e9b5c63703766bb127e600e4c1fafcdd	Bacteria	Actinobacteriota	Thermoleophilia	Gaiellales	Gaiellaceae	Gaiella	
5af8356374ea62594dad21147153ba82	Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae		
498ac2a9f2cda4e3ebc1b26f2636042b	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Rhizobiaceae	Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium	
6ba8f20c060692013b8132b1c7f731a3	Bacteria	Proteobacteria	Alphaproteobacteria	Caulobacterales	Hyphomonadaceae	SWB02	
ca0e06334842b2a518d7644749864a57	Bacteria	Nitrospirota	Nitrospiria	Nitrospirales	Nitrospiraceae	Nitrospira	
03a15120c8029cc536985b84b21ec478	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Hyphomicrobiaceae	Pedomicrobium	
c43d4f136a9b8a8f6e985863dd7cd874	Bacteria	Actinobacteriota	Acidimicrobiia	Microtrichales	Ilumatobacteraceae	CL500-29_marine_group	
aa6bc3fbc4935f1de731b338775788f8	Bacteria	Firmicutes	Bacilli	Paenibacillales	Paenibacillaceae	Paenibacillus	Paenibacillus_camelliae
72e0292307b8eabf9434770e3187b3c3	Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Altererythrobacter	
6309f07b78a9ecd157e0f58f191a383f	Bacteria	Proteobacteria	Gammaproteobacteria	CCD24	CCD24	CCD24	
179ae78fd35bc309895374db3f24e5bf	Bacteria	Chloroflexi	TK10	TK10	TK10	TK10	
a65489edc70874c1a9fbbce8e02a2298	Bacteria	Verrucomicrobiota	Verrucomicrobiae	Pedosphaerales	Pedosphaeraceae	Pedosphaeraceae	
631f0016299e6564d97a4d743d8e0c72	Bacteria	Myxococcota	Polyangia	Polyangiales	Sandaracinaceae	uncultured	uncultured_bacterium
7abaa4a17724a8de032d697b796b8166	Bacteria	Actinobacteriota	Acidimicrobiia	IMCC26256	IMCC26256	IMCC26256	
ad6be6c8b51f47dfcc456fe2cf38e6ca	Bacteria	Acidobacteriota	Holophagae	Subgroup_7	Subgroup_7	Subgroup_7	
e4a7765c24c94f3b38cd550fd6170e00	Bacteria	Myxococcota	Polyangia	Haliangiales	Haliangiaceae	Haliangium	uncultured_Myxococcales
4834d0f96b081f07a4b0a447f0164762	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Xanthobacteraceae	Pseudolabrys	
98cfd48587e2337558553e9ded46be49	Bacteria	Actinobacteriota	Actinobacteria	Streptosporangiales	Thermomonosporaceae	Actinocorallia	
845046fe14843282eaf569e5494a5c3d	Bacteria	Actinobacteriota	Actinobacteria	Corynebacteriales	Mycobacteriaceae	Mycobacterium	
07858b1ca7c7b51b87658832b191b3b3	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Rhizobiaceae	Aminobacter	Rhizobiales_bacterium
4a4300b55d1c78d09f319b63e1613e43	Bacteria	Chloroflexi	TK10	TK10	TK10	TK10	
